group,subgroup,amount,period,month
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",11259456,9,Октябрь
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,7251495,9,Октябрь
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,10452233,9,Октябрь
Транспорт и связь,связь,8461320,9,Октябрь
Финансовая деятельность,Всего,10498970,9,Октябрь
Финансовая деятельность,финансовое посредничество,10783798,9,Октябрь
Финансовая деятельность,страхование,8472521,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Всего,10925696,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,5549527,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",сдача в наем собственного недвижимого имущества,5403364,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,5669072,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",28271137,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,9119603,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования  и разработки в области естественных и технических наук,9131606,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",деятельность по управлению холдинговыми компаниями,10897108,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельностьв области архитектуры, инженерные услуги",10603840,9,Октябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,8895549,9,Октябрь
Образование,Образование,4898958,9,Октябрь
Здравоохранение и предоставление социальных услуг,Всего,5348319,9,Октябрь
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,5550460,9,Октябрь
